                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.69452,                 3.1907,                0.27352,                0.44864,                 1.0135,                0.97442,                 0.9805,                0.99095,                 0.8974,                 0.8541,                0.83325,                0.84354,                0.68439,                0.54992,                 2.0218,                0.07439,                0.30819,                0.84897,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.6953,                 3.2297,                0.27459,                0.44907,                 1.0172,                0.97454,                0.98041,                0.99095,                0.89759,                 0.8555,                0.83406,                0.84458,                0.68512,                0.54961,                 2.0168,                0.07427,                0.30785,                0.84882,               0.006535,               0.006535,               0.006535
                     72,                0.69367,                 3.2058,                0.27214,                0.44981,                 1.0127,                0.97458,                 0.9804,                0.99097,                0.89762,                0.85602,                0.83455,                0.84493,                0.68549,                0.54953,                 2.0149,                0.07417,                0.30768,                 0.8488,              0.0064855,              0.0064855,              0.0064855
                     73,                0.69397,                 3.1821,                0.27022,                0.45046,                 1.0131,                0.97441,                0.98022,                0.99098,                0.89772,                0.85639,                0.83504,                0.84576,                0.68606,                0.54924,                  2.011,                0.07402,                0.30752,                0.84868,               0.006436,               0.006436,               0.006436
                     74,                0.69554,                 3.1813,                0.26922,                0.44787,                 1.0125,                0.97453,                 0.9802,                0.99098,                0.89777,                0.85698,                0.83572,                0.84785,                0.68721,                0.54882,                 2.0072,                0.07387,                0.30728,                0.84844,              0.0063865,              0.0063865,              0.0063865
                     75,                0.70173,                 3.2137,                0.26945,                0.45194,                 1.0168,                0.97501,                 0.9804,                  0.991,                0.89773,                0.85765,                0.83671,                0.84902,                 0.6872,                0.54828,                 2.0043,                0.07374,                0.30718,                 0.8483,               0.006337,               0.006337,               0.006337
                     76,                0.69669,                 3.1837,                0.27049,                 0.4482,                 1.0137,                0.97527,                0.98028,                0.99099,                0.89784,                0.85805,                0.83709,                0.85003,                0.68755,                0.54785,                 2.0032,                0.07356,                0.30693,                0.84813,              0.0062875,              0.0062875,              0.0062875
                     77,                0.69604,                  3.193,                0.26943,                0.45119,                 1.0123,                0.97539,                 0.9804,                0.99101,                0.89785,                0.85814,                0.83645,                0.84974,                0.68773,                0.54753,                 2.0013,                0.07348,                0.30667,                0.84797,               0.006238,               0.006238,               0.006238
                     78,                0.69662,                 3.1589,                0.27053,                0.44946,                 1.0129,                0.97589,                0.98028,                0.99105,                0.89813,                0.85917,                0.83811,                0.85165,                0.68915,                  0.547,                 1.9929,                0.07341,                 0.3065,                0.84779,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.6919,                 3.1671,                0.26867,                0.44867,                 1.0127,                0.97576,                 0.9804,                0.99106,                0.89814,                0.86043,                0.83786,                0.85265,                0.69027,                0.54663,                 1.9864,                0.07326,                0.30618,                0.84767,               0.006139,               0.006139,               0.006139
